Index,prompt_idx,system_prompt_idx,temperature,frequency_penalty
0,2,-1,1.0,0.0
1,2,-1,1.0,0.0
2,2,-1,1.0,0.0
3,2,-1,1.0,0.0
4,2,-1,1.0,0.0
5,2,-1,1.0,0.0
6,2,-1,1.0,0.0
7,2,-1,1.0,0.0
8,2,-1,1.0,0.0
9,2,-1,1.0,0.0
10,2,-1,1.0,0.0
11,2,-1,1.0,0.0
12,2,-1,1.0,0.0
13,2,-1,1.0,0.0
14,2,-1,1.0,0.0
15,2,-1,1.0,0.0
16,2,-1,1.0,0.0
17,2,-1,1.0,0.0
18,2,-1,1.0,0.0
19,2,-1,1.0,0.0
20,2,-1,1.0,0.0
21,2,-1,1.0,0.0
22,2,-1,1.0,0.0
23,2,-1,1.0,0.0
24,2,-1,1.0,0.0
25,2,-1,1.0,0.0
26,2,-1,1.0,0.0
27,2,-1,1.0,0.0
28,2,-1,1.0,0.0
29,2,-1,1.0,0.0
30,2,-1,1.0,0.0
31,2,-1,1.0,0.0
32,2,-1,1.0,0.0
33,2,-1,1.0,0.0
34,2,-1,1.0,0.0
35,2,-1,1.0,0.0
36,2,-1,1.0,0.0
37,2,-1,1.0,0.0
38,2,-1,1.0,0.0
39,2,-1,1.0,0.0
40,2,-1,1.0,0.0
41,2,-1,1.0,0.0
42,2,-1,1.0,0.0
43,2,-1,1.0,0.0
44,2,-1,1.0,0.0
45,2,-1,1.0,0.0
46,2,-1,1.0,0.0
47,2,-1,1.0,0.0
48,2,-1,1.0,0.0
49,2,-1,1.0,0.0
50,2,-1,1.0,0.0
51,2,-1,1.0,0.0
52,2,-1,1.0,0.0
53,2,-1,1.0,0.0
54,2,-1,1.0,0.0
55,2,-1,1.0,0.0
56,2,-1,1.0,0.0
57,2,-1,1.0,0.0
58,2,-1,1.0,0.0
59,2,-1,1.0,0.0
60,2,-1,1.0,0.0
61,2,-1,1.0,0.0
62,2,-1,1.0,0.0
63,2,-1,1.0,0.0
64,2,-1,1.0,0.0
65,2,-1,1.0,0.0
66,2,-1,1.0,0.0
67,2,-1,1.0,0.0
68,2,-1,1.0,0.0
69,2,-1,1.0,0.0
70,2,-1,1.0,0.0
71,2,-1,1.0,0.0
72,2,-1,1.0,0.0
73,2,-1,1.0,0.0
74,2,-1,1.0,0.0
75,2,-1,1.0,0.0
76,2,-1,1.0,0.0
77,2,-1,1.0,0.0
78,2,-1,1.0,0.0
79,2,-1,1.0,0.0
80,2,-1,1.0,0.0
81,2,-1,1.0,0.0
82,2,-1,1.0,0.0
83,2,-1,1.0,0.0
84,2,-1,1.0,0.0
85,2,-1,1.0,0.0
86,2,-1,1.0,0.0
87,2,-1,1.0,0.0
88,2,-1,1.0,0.0
89,2,-1,1.0,0.0
90,2,-1,1.0,0.0
91,2,-1,1.0,0.0
92,2,-1,1.0,0.0
93,2,-1,1.0,0.0
94,2,-1,1.0,0.0
95,2,-1,1.0,0.0
96,2,-1,1.0,0.0
97,2,-1,1.0,0.0
98,2,-1,1.0,0.0
99,2,-1,1.0,0.0
100,2,-1,1.0,0.0
101,2,-1,1.0,0.0
102,2,-1,1.0,0.0
103,2,-1,1.0,0.0
104,2,-1,1.0,0.0
105,2,-1,1.0,0.0
106,2,-1,1.0,0.0
107,2,-1,1.0,0.0
108,2,-1,1.0,0.0
109,2,-1,1.0,0.0
110,2,-1,1.0,0.0
111,2,-1,1.0,0.0
112,2,-1,1.0,0.0
113,2,-1,1.0,0.0
114,2,-1,1.0,0.0
115,2,-1,1.0,0.0
116,2,-1,1.0,0.0
117,2,-1,1.0,0.0
118,2,-1,1.0,0.0
119,2,-1,1.0,0.0
120,2,-1,1.0,0.0
121,2,-1,1.0,0.0
122,2,-1,1.0,0.0
123,2,-1,1.0,0.0
124,2,-1,1.0,0.0
125,2,-1,1.0,0.0
126,2,-1,1.0,0.0
127,2,-1,1.0,0.0
128,2,-1,1.0,0.0
129,2,-1,1.0,0.0
130,2,-1,1.0,0.0
131,2,-1,1.0,0.0
132,2,-1,1.0,0.0
133,2,-1,1.0,0.0
134,2,-1,1.0,0.0
135,2,-1,1.0,0.0
136,2,-1,1.0,0.0
137,2,-1,1.0,0.0
138,2,-1,1.0,0.0
139,2,-1,1.0,0.0
140,2,-1,1.0,0.0
141,2,-1,1.0,0.0
142,2,-1,1.0,0.0
143,2,-1,1.0,0.0
144,2,-1,1.0,0.0
145,2,-1,1.0,0.0
146,2,-1,1.0,0.0
147,2,-1,1.0,0.0
148,2,-1,1.0,0.0
149,2,-1,1.0,0.0
150,3,-1,1.0,0.0
151,3,-1,1.0,0.0
152,3,-1,1.0,0.0
153,3,-1,1.0,0.0
154,3,-1,1.0,0.0
155,3,-1,1.0,0.0
156,3,-1,1.0,0.0
157,3,-1,1.0,0.0
158,3,-1,1.0,0.0
159,3,-1,1.0,0.0
160,3,-1,1.0,0.0
161,3,-1,1.0,0.0
162,3,-1,1.0,0.0
163,3,-1,1.0,0.0
164,3,-1,1.0,0.0
165,3,-1,1.0,0.0
166,3,-1,1.0,0.0
167,3,-1,1.0,0.0
168,3,-1,1.0,0.0
169,3,-1,1.0,0.0
170,3,-1,1.0,0.0
171,3,-1,1.0,0.0
172,3,-1,1.0,0.0
173,3,-1,1.0,0.0
174,3,-1,1.0,0.0
175,3,-1,1.0,0.0
176,3,-1,1.0,0.0
177,3,-1,1.0,0.0
178,3,-1,1.0,0.0
179,3,-1,1.0,0.0
180,3,-1,1.0,0.0
181,3,-1,1.0,0.0
182,3,-1,1.0,0.0
183,3,-1,1.0,0.0
184,3,-1,1.0,0.0
185,3,-1,1.0,0.0
186,3,-1,1.0,0.0
187,3,-1,1.0,0.0
188,3,-1,1.0,0.0
189,3,-1,1.0,0.0
190,3,-1,1.0,0.0
191,3,-1,1.0,0.0
192,3,-1,1.0,0.0
193,3,-1,1.0,0.0
194,3,-1,1.0,0.0
195,3,-1,1.0,0.0
196,3,-1,1.0,0.0
197,3,-1,1.0,0.0
198,3,-1,1.0,0.0
199,3,-1,1.0,0.0
200,3,-1,1.0,0.0
201,3,-1,1.0,0.0
202,3,-1,1.0,0.0
203,3,-1,1.0,0.0
204,3,-1,1.0,0.0
205,3,-1,1.0,0.0
206,3,-1,1.0,0.0
207,3,-1,1.0,0.0
208,3,-1,1.0,0.0
209,3,-1,1.0,0.0
210,3,-1,1.0,0.0
211,3,-1,1.0,0.0
212,3,-1,1.0,0.0
213,3,-1,1.0,0.0
214,3,-1,1.0,0.0
215,3,-1,1.0,0.0
216,3,-1,1.0,0.0
217,3,-1,1.0,0.0
218,3,-1,1.0,0.0
219,3,-1,1.0,0.0
220,3,-1,1.0,0.0
221,3,-1,1.0,0.0
222,3,-1,1.0,0.0
223,3,-1,1.0,0.0
224,3,-1,1.0,0.0
225,3,-1,1.0,0.0
226,3,-1,1.0,0.0
227,3,-1,1.0,0.0
228,3,-1,1.0,0.0
229,3,-1,1.0,0.0
230,3,-1,1.0,0.0
231,3,-1,1.0,0.0
232,3,-1,1.0,0.0
233,3,-1,1.0,0.0
234,3,-1,1.0,0.0
235,3,-1,1.0,0.0
236,3,-1,1.0,0.0
237,3,-1,1.0,0.0
238,3,-1,1.0,0.0
239,3,-1,1.0,0.0
240,3,-1,1.0,0.0
241,3,-1,1.0,0.0
242,3,-1,1.0,0.0
243,3,-1,1.0,0.0
244,3,-1,1.0,0.0
245,3,-1,1.0,0.0
246,3,-1,1.0,0.0
247,3,-1,1.0,0.0
248,3,-1,1.0,0.0
249,3,-1,1.0,0.0
250,3,-1,1.0,0.0
251,3,-1,1.0,0.0
252,3,-1,1.0,0.0
253,3,-1,1.0,0.0
254,3,-1,1.0,0.0
255,3,-1,1.0,0.0
256,3,-1,1.0,0.0
257,3,-1,1.0,0.0
258,3,-1,1.0,0.0
259,3,-1,1.0,0.0
260,3,-1,1.0,0.0
261,3,-1,1.0,0.0
262,3,-1,1.0,0.0
263,3,-1,1.0,0.0
264,3,-1,1.0,0.0
265,3,-1,1.0,0.0
266,3,-1,1.0,0.0
267,3,-1,1.0,0.0
268,3,-1,1.0,0.0
269,3,-1,1.0,0.0
270,3,-1,1.0,0.0
271,3,-1,1.0,0.0
272,3,-1,1.0,0.0
273,3,-1,1.0,0.0
274,3,-1,1.0,0.0
275,3,-1,1.0,0.0
276,3,-1,1.0,0.0
277,3,-1,1.0,0.0
278,3,-1,1.0,0.0
279,3,-1,1.0,0.0
280,3,-1,1.0,0.0
281,3,-1,1.0,0.0
282,3,-1,1.0,0.0
283,3,-1,1.0,0.0
284,3,-1,1.0,0.0
285,3,-1,1.0,0.0
286,3,-1,1.0,0.0
287,3,-1,1.0,0.0
288,3,-1,1.0,0.0
289,3,-1,1.0,0.0
290,3,-1,1.0,0.0
